Character,Text
Misuzu Kusakabe,If you find Yuka come back to school right away and group up with Kakeru and Takahisa Once Takahisa shoots off a pillar of fire as a signal we all return to the school Youll do at least that right
Takahisa Tajima,Aye aye Captain
Misuzu Kusakabe,All right Kakeru
Kakeru Satsuki,Yes
Misuzu Kusakabe,All right lets go
Yukiko Hirohara,Yes For friends and tomorrow
Kakeru Satsuki,For friends and tomorrow
Yukiko Hirohara,Yukasan Yukasan
Kakeru Satsuki,Yuka Yuka Next is the gymnasium
Takahisa Tajima,Hey You okay
Kakeru Satsuki,Its my fault If only I hadnt left Yuka all alone Yuka Sorry Yuka Stay safe Yuka Whats so funny
Takahisa Tajima,My bad my bad Dont get angry You sure can express your feelings about girls without being embarrassed Kakeru
Kakeru Satsuki,What
Takahisa Tajima,Nothing really I just wondered if I would become that stubborn if someone close to me disappeared Yukiko has the same scent as I do
Misuzu Kusakabe,Thats why it hurts to smile I guess youd call it karma
Yukiko Hirohara,Lets stop If you knew what Id done Im sure that even you would change
Takahisa Tajima,Ive been watching you all this time
Yukiko Hirohara,I know
Takahisa Tajima,Tell me about it
Yukiko Hirohara,Its a secret If youre too mindful of me itd just be awkward instead
Takahisa Tajima,How pathetic of me I worried too much These damn bugs Dont be eavesdropping on peoples secret conversations
Kakeru Satsuki,Takahisa
Takahisa Tajima,Lets go and search for your princess
Misuzu Kusakabe,The black moon is getting closer to the Earth
Yukiko Hirohara,Yukasan Oh lost little Yukasan If youre there please answer back in a loud voice Yuka This is
Yuka Minase,Im glad that you like it Kakerukun Ill make you a bento tomorrow too
Yukiko Hirohara,Yukasan
Yuka Minase,Hey Kakerukun Do you like me I love Kakerukun
Yukiko Hirohara,Yukasan
Yuka Minase,Kakerukun
Superbia,This is
Avaritia,That sly witch trying her futile attempts to escape while were away Superbia
Superbia,Yes
Avaritia,I shall leave the destruction of the fragments and the Aeons Eyes wielder to you Invidia and Scholastica
Superbia,Understood Avaritiasama You heard that Invidia An ugly defeat and that hideous burn NNow you have only one other thing left to do
Yukiko Hirohara,Yukasan are you all right If we dont return quickly everyone will worry Ah thats right Ive got some good news Kukurisan took care of a Black Knight Kukurisans power was amazing
Yuka Minase,Everyone is amazing arent they
Yukiko Hirohara,Yes
Yuka Minase,Even though everyone has amazing powers and are risking their lives fighting Im the only one thats
Yukiko Hirohara,You dont have to worry about that Fighting doesnt fit you
Yuka Minase,Its because I didnt have any powers that Kakerukun left me
Yukiko Hirohara,What are you talking about Kakerusenpai and you are passionately in love arent you Hes only fighting because he wants to protect you Youre loved in a lot of different ways Why you little Yukasan Maybe Ill tell you about my past Up until a Japanese person picked me upN I lived in the country of Drasvenia By the time I was old enough to be aware of things the world was already hell itself A civil war to wash away blood with blood Everyone fought to hold what was precious to them amongst the mayhem and destruction Men women and children I have a immortal body If I blow myself up or step on a mine I still regenerate Thats why I was used as a human weapon My family and friends died one after another Thats why I killed and killed and continued to kill Only the phrase For my friends and tomorrow kept supporting me My personality and battle abilities were honed in that hell If they hadnt I wouldnt have been able to protect my friends and my future If I dont seal myself with my glasses I become a really dangerous girl I dont want you to be like me Yukasan Thats why its better not to awaken your powers to fight Im pretty sure Kakerusenpai would like it that way too
Yuka Minase,Yukikochan
Yukiko Hirohara,Yukasan
Yuka Minase,Yukikochan Im all right Im all right now After all I
Avaritia,Its useless This isnt something you can do
Misuzu Kusakabe,That is
Takahisa Tajima,WWhat is this light
Shiori Momono,Scholastica You who fought with your own brother Benedictus Your vessel you return to Acedia is no longer present Die at once
Avaritia,Scholastica
Kakeru Satsuki,The Black Knights are
Takahisa Tajima,What happened here Its you again Youre annoying
Invidia,Being mere fragments the sin for hurting my pride and face Ill have you pay with your lives
Takahisa Tajima,Stop blabbing Ill return those words right back at you Which is what Id love to say but were running out of gas here Whatll you do Kakeru
Kakeru Satsuki,Weve no choice but to fight right
Takahisa Tajima,Then Ill go first
Misuzu Kusakabe,Kakeru
Kakeru Satsuki,Misuzusenpai
Takahisa Tajima,You saved us
Misuzu Kusakabe,Here I come
Superbia,Your opponent is me Invidia you may fight to your hearts content
Takahisa Tajima,Hurry up and come back Yukiko Tachibanasenpai
Kakeru Satsuki,Wheres she Whered she go Behind me huh
Superbia,That weapon Its one of the Kusakabe weapons Kashagiri Hiromitsu right
Misuzu Kusakabe,What
Superbia,Your stance is the style of Kusakabe household NSo youre an Onmyouji of the Kusakabe family after all
Misuzu Kusakabe,Why do you know such a thing
Superbia,To be able to fight a Kusakabe swordswoman It seems fate is quite mischievous
Misuzu Kusakabe,Thats the Kusakabe dual wield balancing stance Why do you Dont tell me
Kakeru Satsuki,My eyes
Takahisa Tajima,IIm at my limit too
Superbia,The sin of being a fragment wont be lifted until your soul gets destroyed
Misuzu Kusakabe,What an incredible blood lust I cant move Who in the world are you Youre
Invidia,The end of time is near You all shouldnt even exist
Kakeru Satsuki,Tachibanasenpai
Takahisa Tajima,Youre late Yukiko
Misuzu Kusakabe,IIt cant be Theres no way it could be
Superbia,It looks like youre not in the position to be fighting My name is Superbia I shall postpone this match for later Ill leave the rest to you Invidia
Misuzu Kusakabe,Kakeru
Kakeru Satsuki,Misuzusenpai
Takahisa Tajima,What is this
Misuzu Kusakabe,Is it a barrier to seal us in here
Kakeru Satsuki,A barrier
Invidia,YYou all should die
Misuzu Kusakabe,She plans on selfdestructing
Takahisa Tajima,You cant be serious
Misuzu Kusakabe,Weve got to run
Invidia,Holder of Aeons Eye and you fragments Ill take you all down with me
Yuka Minase,Stop it Dont touch Kakerukun
Misuzu Kusakabe,Thats
Takahisa Tajima,Isnt that Yuka
Misuzu Kusakabe,What
Invidia,IIt disappeared My powers of destruction Why
Kakeru Satsuki,Yuka
Takahisa Tajima,What happened What did Yuka do
Misuzu Kusakabe,Mostly likely the light she released negated our powers
Takahisa Tajima,Powers
Kakeru Satsuki,Yuka has awakened
Takahisa Tajima,Yuka is amazing
Misuzu Kusakabe,Its amazing but its also a dangerous power
Takahisa Tajima,Dangerous
Misuzu Kusakabe,Didnt you see Not only the enemys but our powers get negated too
Yuka Minase,Its all right Kakerukun Im here for you Ill protect you So please lay your eyes only on me
Kakeru Satsuki,Yuka
Lisette,He was usurped No way it cant be Verard is I wont allow it I definitely wont allow it Ill destroy it this filthy world Thats the wish of Verard and I Liselotte
Kakeru Satsuki,Yuka I didnt want Yuka to awaken I didnt want to drag her into the fight Tachibanasenpai Dont tell me thats
Saiko Akamine,Next time The Time of Disasters Takahisa were going for barbecue Well have Galbi sirloin and an extra big serving of savarin Eat as much as you like
TL Note,TL NOTE Galbi 갈비 is a Korean dish of grilled ribs marinated in soy sauce
Kukuri Tachibana,Sorry Kakeru This is the only way
Kakeru Satsuki,Oneechan Yu ka
Yuka Minase,No
Misuzu Kusakabe,This is Does this mean I can meet that person
Yuka Minase,Incredible wind Man Yuka I came looking for you because you disappeared Kakerukun Good thing you didnt return first What are you looking at The clouds
Kakeru Satsuki,The moon
Yuka Minase,The moon Where Youre right Its pretty
Kakeru Satsuki,Yuka Seven years ago my older sister ended her own life Being brought up in an institution my sister was my only family Thats why I couldnt completely accept what happened and closed my heart Only Yuka who was from the same institution had always smiled at me She had stayed close and laughed for me If Yuka werent here I wonder how I wouldve turned out
Yuka Minase,Whats wrong Kakerukun
Kakeru Satsuki,No its nothing
Yuka Minase,Shall we return
Kakeru Satsuki,Even so I
Tadashi Teruya,Kakeru
Kaori Natsuki,Yuka
Yuka Minase,Kaorichan Tadashikun
Kaori Natsuki,It looks like you found Kakerukun
Yuka Minase,Yeah he was looking at the moon on the roof
Kaori Natsuki,The moon
Tadashi Teruya,You two were up on the roof alone this whole time
Kakeru Satsuki,Well yeah
Tadashi Teruya,What were you doing
Kakeru Satsuki,What do you mean Nothing much
Tadashi Teruya,Some dazzling event had occured right Kakerukun You have to send me a picture mail Picture mail
Kaori Natsuki,What kind of weird delusions are you having you idiot
Yuka Minase,Tadashikun Kaorichan youre going overboard
Tadashi Teruya,It looks like youve made me get serious You have woken up the real me inside of me You cant stop me now
Kaori Natsuki,Dont say you
Tadashi Teruya,SStrong Dang you You must be the legendary
Kakeru Satsuki,Though I dont talk much if at all with anyone other than Yuka Tadashi and Kaori casually came up to me When Im with the cheerful twosome my feelings naturally become calm
Yuka Minase,Sale
Kaori Natsuki,Yeah theyre saying that today and tomorrow theres going to be an outlet sale at Ianith
Yuka Minase,What kinds of outlets are at Ianith
Kaori Natsuki,Lots of stuff Like western clothing or general goods
Tadashi Teruya,Or indecent gravure photo shoots
Kaori Natsuki,Go to hell perverted Tadashi Hey were going right now so you wanna come too
Yuka Minase,Really That sounds fun
Kakeru Satsuki,Im fine I dont like crowds
Yuka Minase,Go ahead you dont need to mind me Sorry Ill go next time
Kakeru Satsuki,Yuka was adopted by the Minase family the year she entered elementary school The married Minase couple who had no children warmly welcomed Yuka
Yuka Minase,Well then see you tomorrow
Kakeru Satsuki,Yeah
Yuka Minase,See you
Kakeru Satsuki,Yuka On second thought should we go Ianith
Yuka Minase,Yup
Kakeru Satsuki,What is it
Yuka Minase,Because Im happy
Kakeru Satsuki,Yuka What is this
Yuka Minase,Kakerukun
Kakeru Satsuki,A black moon
Yuka Minase,Whats going on Kakerukun what in the worlds going on hey
Kakeru Satsuki,I also dont know whats happening No ones around Everyones disappeared somewhere
Yuka Minase,Father Mother
Kakeru Satsuki,Theyre not here Yuka Somethings there Lets go
Yuka Minase,Where are we going
Kakeru Satsuki,Thats right lets go to school
Yuka Minase,School
Kakeru Satsuki,There might be a chance someone is there
Yuka Minase,What is that Kakerukun
Kakeru Satsuki,Were running away
Yuka Minase,Were back Are you all right Kakerukun
Kakeru Satsuki,Yeah but why are you
Yuka Minase,When I came to pick you up your door was open I thought something happened and I panicked
Kakeru Satsuki,I see When we came back yesterday I was a bit dazed
Yuka Minase,What about you are you okay I couldnt sleep last night
Kakeru Satsuki,I see
Yuka Minase,I was too scared to close my eyes so scared
Kakeru Satsuki,Yeah I was too I couldnt sleep either
Yuka Minase,You were just sleeping soundly
Kakeru Satsuki,Well if you jump to conclusions Yuka
Yuka Minase,Will it happen again That Crimson Night
Tadashi Teruya,Hey
Kaori Natsuki,Good morning
Tadashi Teruya,What is this what is this Walking to school together like a date
Kaori Natsuki,Dont say unnecessary things
Kakeru Satsuki,Ill protect you If anything happens again I will protect you Yuka So dont worry
Yuka Minase,Kakerukun Im happy Im so happy
Kakeru Satsuki,IIdiot Dont cry in a place like this People will misunderstand
Tadashi Teruya,YYou made her cry You made a girl cry in the morning
Kakeru Satsuki,See
Yuka Minase,Sorry
Kakeru Satsuki,Lets go in
Yuka Minase,Yeah
Teacher,Everyone let me introduce a transfer student This is Shiori Momonosan
Tadashi,CCute Moe
Teacher,Momonosan came back to Japan from Italy
Kaori Natsuki,Italy Cool
Teacher,Now then Momonosan please introduce yourself
Shiori Momono,There is no need
Teacher,Huh
Shiori Momono,There is no need
students,Hey whats your hobby Wheres your house at Are you interested in Kuino Shirohara
Tadashi Teruya,Yeah yeah yeah Ask your questions in order Lets see Now first whats your three sizes
Kaori Natsuki,Die
Shiori Momono,I dont have any interest in you all So dont interfere with me
Kakeru Satsuki,What is it
Yuka Minase,Um
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun I can walk now
Kakeru Satsuki,No you cant
Yuka Minase,Its because Im lacking sleep Im all right Its embarrassing
Kakeru Satsuki,Cant you see Ive got a sick person Hey That guy
Yuka Minase,No its Sorry
Kakeru Satsuki,Is that so Then Ill go back
Yuka Minase,Thank you Kakerukun
Kakeru Satsuki,Rest a bit Yes I had it since birth Excuse me
Yuka Minase,Kakerukun cant see through his right eye Because of that his irises have a different color so he wears the eye patch SSensei
Kakeru Satsuki,So did you get some sleep
Yuka Minase,Yeah so Im all right Sorry for making you worry
Kakeru Satsuki,If its not too hard on your body shall we go
Yuka Minase,Eh
Kakeru Satsuki,Ianith We couldnt go yesterday right The outlet sale is until today
Yuka Minase,Kakerukun Yup Oh right Mother and Father said for you to come over sometime and eat
Kakeru Satsuki,Yeah I should
Yuka Minase,You want to come over today when we return
Kakeru Satsuki,Nah Ill come over another day That aside you always carry that but what is it
Yuka Minase,Penzosan
Kakeru Satsuki,Penzo san
Yuka Minase,Penzosan is incredible you know See
Kakeru Satsuki,YYeah incredible
Yuka Minase,I know right Lets not go here
Kakeru Satsuki,Yeah
Yuka Minase,That was fun
Kakeru Satsuki,Is it really all right not having bought anything
Yuka Minase,Its okay If Im with you its fun just looking around
Kakeru Satsuki,It was a good thing we came Its not like the shock and insecurity from yesterday has worn off but this smile isnt a lie
Yuka Minase,Hey Kakerukun
Kakeru Satsuki,Hmm
Yuka Minase,Shall we do that Okay
Kakeru Satsuki,YYuka
Yuka Minase,Okay Please
Kakeru Satsuki,Yeah Whatever that thing was doesnt matter I dont want Yuka to have painful thoughts anymore As long as it doesnt happen again everythings fine
Yuka Minase,Its quiet isnt it
Kakeru Satsuki,Yeah
Yuka Minase,Itd be nice if it were always like this right
Kakeru Satsuki,Yeah
Yuka Minase,Kakeru kun Kukurisan Kakerukun
Kakeru Satsuki,What the heck is going on Why has Neesan
Yuka Minase,Kakerukun
Kakeru Satsuki,Its all right Yuka
Yuka Minase,Kakerukun Kakerukun
Misuzu Kusakabe,Get down Are you hurt Looks like youre fine thank goodness
Kakeru Satsuki,Who are you
Misuzu Kusakabe,Lets run
Kakeru Satsuki,Yes
Yuka Minase,What is that
Kakeru Satsuki,Are you all right
Yuka Minase,Yeah Rainbow High TL Note Nijikou 虹校 is an abbreviation for 虹陵館学園 the school the main characters attend
Misuzu Kusakabe,Yeah Looks like you two are too Theres no secret tricks behind this
Kakeru Satsuki,Who in the world are you
Misuzu Kusakabe,I am Misuzu Kusakabe A senior at Rainbow High
Kakeru Satsuki,Im Kakeru Satsuki This girl is
Yuka Minase,Im Yuka Minase Were both sophomores
Misuzu Kusakabe,I see Nice to meet you
Yuka Minase,Thank you for before
Misuzu Kusakabe,I dont need any thanks I only did what was right
Yuka Minase,Kusakabesenpai what exactly is this world
Misuzu Kusakabe,Even I dont know The only thing for certain is This world was created by someones will so the scenery is the same but It exists in a different spacetime than the real world
Kakeru Satsuki,A different spacetime
Yuka Minase,Why have we come to this this Crimson Night
Misuzu Kusakabe,Crimson Night Thats not a bad name I dont know the true intention but Theres no doubt that theres a meaning to this and also a reason for being chosen
Kakeru Satsuki,Chosen
Misuzu Kusakabe,Do you two also have some kind of power
Yuka Minase,Power
Misuzu Kusakabe,Something like what you have Kusakabesenpai
Kakeru Satsuki,We dont have anything like that
Misuzu Kusakabe,Its them
Kakeru Satsuki,Them
Yuka Minase,I want to go back Kakerukun
Kakeru Satsuki,Yuka
Misuzu Kusakabe,Rin Pyou Tou Sha Kai Jin Retsu Zai Zen Over there As I thought That crystal tower is full of powerful energy Perhaps that place could be the center of this world Im going to the tower You two should hide
Kakeru Satsuki,Ill go as well
Yuka Minase,Kakerukun You cant its dangerous
Kakeru Satsuki,Kusakabesenpai Ill go with you
Misuzu Kusakabe,Youll just be a burden What can you do You without any powers Damn
TL Note,TL Note Tachibana Dousetsu is the name of a samurai that wielded Raikiri with which he used to slay a lightning god
Misuzu Kusakabe,Tachibana Dousetsu Lightning Blade Run away
Kakeru Satsuki,Lets go to that tower
Yuka Minase,Kakerukun
Misuzu Kusakabe,Do you want to die You two must flee until this Crimson Night is over
Kakeru Satsuki,When will it end Wheres the proof that it will ever end It may not end this time We might be in here forever If theres a chance of escape at that tower then I want to go
Misuzu Kusakabe,Do you want to help this girl
Kakeru Satsuki,Yes
Yuka Minase,Kakerukun
Misuzu Kusakabe,Even if you run and hide the result is the same huh All right I understand However I dont know what could be in that tower You may not be able to completely protect her Even then are you sure
Kakeru Satsuki,Yes Yuka go somewhere and
Yuka Minase,Im going too dont leave me here
Kakeru Satsuki,No matter what happens I will definitely protect you Come
Misuzu Kusakabe,Were almost there
Yuka Minase,Kakerukun
Misuzu Kusakabe,Whats wrong
Kakeru Satsuki,My eye
Misuzu Kusakabe,Can you go on
Kakeru Satsuki,Yes
Enemy A,I cannot let you proceed any further
Misuzu Kusakabe,So theres also ones that can talk If you say that you cannot let us pass then that means you have something important to protect there I thank you for telling me that Strong She doesnt have any wasted movements
Enemy A,As I thought that girl is
Yuka Minase,A girl
Lisette,Save me Please
Misuzu Kusakabe,Whats your name
Lisette,Im Lisette
Misuzu Kusakabe,Why do you call out for help
Lisette,Im trapped in here Save me get me out of here
Misuzu Kusakabe,Dont go Lisette is the origin of the energy Most likely shes the person that made this Crimson Night
Kakeru Satsuki,Is that true Lisette Did you bring us here
Lisette,No It wasnt me
Misuzu Kusakabe,Thats a lie
Kakeru Satsuki,Send us back To the world where we came from Please
Lisette,I cant
Misuzu Kusakabe,Its unconscious Perhaps its something inside of Lisette It unconsciously activated created this world and brought us into it
Yuka Minase,Lets save her
Kakeru Satsuki,Yuka but
Yuka Minase,Shes suffering Please Kakerukun
Kakeru Satsuki,If you say so
Enemy B,What a weak boy Youre so similar to Verard Staich yet so different
Yuka Minase,Kakerukun
Enemy B,Its useless Within this palace your skills are unusable Now then shall we have you disappear
Misuzu Kusakabe,Are all of you those who protect Or those who rule
Enemy B,I have no need to answer fragments that will disappear
Misuzu Kusakabe,Fragments
Enemy B,All of you must not exist Especially you Invidia
Misuzu Kusakabe,Run away
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun
Misuzu Kusakabe,Have you calmed down a bit
Kakeru Satsuki,Yes
Misuzu Kusakabe,What about Minasekun
Yuka Minase,Somehow
Misuzu Kusakabe,Geez I feel like Im being toyed around with as they please Every single time Even though I didnt want to be chosen
Kakeru Satsuki,Them You said it before right Them Could it be that there are others people that were also brought into the Crimson Night
Misuzu Kusakabe,Yeah there are At the very least there are three others But Ive only seen the face of one of them The other two I caught a glimpse of as they were leaving out of the corner of my eye
Kakeru Satsuki,What kind of people are they
Misuzu Kusakabe,All three of them are students at Rainbow High Two girls and one guy
Kakeru Satsuki,Were they running away from them
Misuzu Kusakabe,No they were fighting with the demons
Yuka Minase,Demons
Misuzu Kusakabe,Yeah In Onmyoudou all wicked beings are called demons
TL Note,TL NOTE Onmyoudou is a practice of spiritual balance based on Wu Xing and Yin and Yang An Onmyouji is a practitioner of this
Kakeru Satsuki,So youre an Onmyouji right
Misuzu Kusakabe,Its hereditary Those people were not shiki
TL Note,TL NOTE Shiki are a type of spirit summoned by an onmyouji often invisible to normal people
Misuzu Kusakabe,Which means rather than demons they are spirits of darkness An Ahriman might be more appropriate
Kakeru Satsuki,Ahriman
Yuka Minase,Um so where are the other students
Misuzu Kusakabe,Yeah Ill let you meet them The one that I saw is a senior I also know her name
Kakeru Satsuki,If they were fighting do they have some kind of power So are they also Onmyouji
Misuzu Kusakabe,No thats not it About their powers itd be better to ask them yourself
Kakeru Satsuki,Do I have some kind of power too
Yuka Minase,Kakerukun
Kakeru Satsuki,At that time that black knight said that I was
Misuzu Kusakabe,Satsukikun can you try taking that off
Kakeru Satsuki,My right eye
Misuzu Kusakabe,Im not really certain but you remember the pain back then right
Kakeru Satsuki,Ahh right Now that you mention it whenever we enter the Crimson Night my right eye always
Misuzu Kusakabe,Let me see
Kakeru Satsuki,Yes
Yuka Minase,Senpai Is something wrong
Misuzu Kusakabe,Minasekun dont you feel anything
Yuka Minase,Huh
Misuzu Kusakabe,I see thats enough thank you You probably havent awakened yet I dont know what kind of power it has but I will find out as much as I can about that eye
Kakeru Satsuki,I also have some kind of power
Yuka Minase,So that means that I also have something Thats why you were chosen right Same for me Is it all right if we stay like this
Kakeru Satsuki,Yeah
Yuka Minase,Are we going to be killed When I die stay by my side
Kakeru Satsuki,Stupid Dont say stuff like that
Yuka Minase,But
Kakeru Satsuki,Ill protect you Yuka I will for sure
Tadashi Teruya,I found Kakeru Whatre you doing crossing arms like that All lovey dovey
Yuka Minase,TTadashikun
Kaori Natsuki,Sorry I couldnt stop him in time
Yuka Minase,Kaorichan
Kaori Natsuki,Aw geez what the heck are you doing
Kakeru Satsuki,Dont fall over all of a sudden I hit my head you know
Tadashi Teruya,Ow I hit my nose How exactly could you have hit it I dont know I just did
Yuka Minase,Kakerukun
Tadashi Teruya,Ah thats nice Kaori pick me up Ill give you a cookie
Kaori Natsuki,Am I some kind of domestic animal
Yuka Minase,Whats wrong Kakerukun Shiorisan
Kaori Natsuki,Ah youre here I brought her because she asked me to guide her through ShinAyame but she disappeared
Tadashi Teruya,Shiorichan Pick me up Or you can ignore me
Kaori Natsuki,Where did you go We were looking for you
Shiori Momono,I was following a cat then I got lost
Kaori Natsuki,A cat
Tadashi Teruya,Kaori lift me up For two cookies
Kaori Natsuki,Youre really annoying If you want to be picked up then give me a Yukiccho TL Note Shes making a reference to the man on the  yen bill Yukichi Fukuzawa
Tadashi Teruya,Youre a demon bride
Kaori Natsuki,Who are you calling a bride Why do I have to be your bride
Tadashi Teruya,Stop it
Kakeru Satsuki,Ill have them give me a break from work today After I greet the master Ill walk you back home
Yuka Minase,Thanks Sorry
Kakeru Satsuki,Dont worry about it
Yukiko Hirohara,Welcome
Kakeru Satsuki,I see so youre a new parttimer here
Yukiko Hirohara,Yes I believe that the master will be back from shopping soon
Kakeru Satsuki,Okay Excuse me but have we met you before
Yukiko Hirohara,Ah we might have because we go to the same school
Kakeru Satsuki,So thats how it is
Yukiko Hirohara,Ah I had an accident earlier Im quite the klutz But Im all right so no need to worry Im a Kouryoukan Academy freshman in class C My name is Yukiko Hirohara TL Note NijikouryoukanGakuen 虹陵館学園 is the full name of the school Please call me Yukipon
Yuka Minase,Yukipon
Yukiko Hirohara,Yes So what should I call Satsukisenpai and Minasesenpai by
Kakeru Satsuki,Well isnt Satsukisenpai all right as usual
Yukiko Hirohara,I cant do that If I do that itd be like were strangers
Kakeru Satsuki,We are strangers
Yukiko Hirohara,Huh Did you just say something
Kakeru Satsuki,Ah nothing not really
Yuka Minase,You can call me Yuka
Yukiko Hirohara,Yup Affirmative All right then Ill call Minasesenpai Yukasan And Satsukisenpai is Kacchan
Kakeru Satsuki,Can you at least call me Kakerusenpai
Yukiko Hirohara,Yup affirmative All right then thats what itll be Ah Ill pour you some coffee Yukiko special I just perfected it a while ago its really tasty Just wait a little bit
Kakeru Satsuki,After talking with Yukikochan its already this late
Yuka Minase,Its all right I already called Mom Wanna come over
Kakeru Satsuki,No Ill go home for today Im tired after all
Yuka Minase,I see Its a good thing that were the only ones having hard times Well then see you tomorrow
Kakeru Satsuki,Yeah
Yuka Minase,That was just an illusion Kukurisan Thats why its better not to worry about it
Kakeru Satsuki,I guess so thanks If the Crimson Night comes again dont move until I come okay
Yuka Minase,Yeah got it Kakerukun
Kakeru Satsuki,Yuka Can I really protect Yuka I want to protect her but With the way I am right now Again
Lisette,Save me
Yuka Minase,Hey
Kakeru Satsuki,Yuka
Yuka Minase,Geez you disappeared without a word so I panicked
Kakeru Satsuki,Ah sorry
Yuka Minase,Were you looking it up
Kakeru Satsuki,I doubt that theres an answer but I couldnt just stand there not doing anything
Yuka Minase,I see Ill help search too then
Kakeru Satsuki,Okay
Yuka Minase,Kakerukun What happened
Kakeru Satsuki,Its not an illusion She was there Right now here Neesan was here
Yuka Minase,Could this be
Kakeru Satsuki,My eye
Yuka Minase,Kakerukun Kakerukun
Kakeru Satsuki,A black moon
Yuka Minase,A black moon
Kakeru Satsuki,How Why What is going on
Misuzu Kusakabe,I dont know However I do know that this is certainly not a good omen From now on whenever we are sent into the Crimson Night lets gather together at this school
Yuka Minase,Yes
Kakeru Satsuki,Yes
Misuzu Kusakabe,Also that girl that I said Id introduce to you still doesnt feel up to it
Kakeru Satsuki,Eh She doesnt want to meet us
Yuka Minase,I think that wed be more composed if we were together though
Misuzu Kusakabe,Everyone has personal issues Just wait a bit longer
Kakeru Satsuki,I understand
Misuzu Kusakabe,See you later
Kakeru Satsuki,Ah Kusakabesenpai
Misuzu Kusakabe,What is it Satsukikun
Kakeru Satsuki,Um I have something to discuss with you later
Misuzu Kusakabe,I see Well then come to my classroom at lunch break
Kakeru Satsuki,Okay
Misuzu Kusakabe,What did you mean by something to discuss Kakerukun
Kakeru Satsuki,Its nothing Come on class is gonna start soon
Yuka Minase,Kakerukun
Kakeru Satsuki,The person who woke up the demon is you A demon was it So then you is It really is me If so then its my fault that Yuka and everyone else have been dragged into the Crimson Night All because of me
Yuka Minase,Kakerukun Kakerukun
Kakeru Satsuki,Huh Ah SSorry Sorry
Tadashi Teruya,Kakerukun Not enough sleep You mustve been doing something staying up late eh Pervert Kaorisan Hitting people with textbooks means failing this grade
Kaori Natsuki,Sensei please throw this noisy piece of trash away quickly
Tadashi Teruya,Youre so mean What do you mean by trash
Misuzu Kusakabe,Powers
Kakeru Satsuki,Yes I want to awaken them Powers that are supposedly dormant inside of me
Misuzu Kusakabe,What do you want me to do
Kakeru Satsuki,Please teach me how to fight
TL Note,If these dormant powers are meant for fighting then they might awaken if I fight No they should awaken
Misuzu Kusakabe,Thatd be nice I understand your feeling to protect Yuka Minase However haste tends to bring about mistakes You cant become an expert overnight
Kakeru Satsuki,I know that Even so I want to do it No Its something I must do Because of me Please Kusakabesenpai Please teach me how to use a sword
Misuzu Kusakabe,I refuse
Kakeru Satsuki,Senpai please wait
students,Hey lets eat over there Lets go
Yukiko Hirohara,Ive found you Yukasan
Yuka Minase,YYukikochan
Yukiko Hirohara,Ah That looks delicious May I have just a bite Avocado and shrimp huh This is really good Yummy yummy Thank you for the food
Yuka Minase,You said just a bite
Yukiko Hirohara,Eh Ah Im sorry It was so tasty that I just ate it all
Yuka Minase,Thank you
Yukiko Hirohara,Huh For what Isnt this where you get mad at me for eating it all Ah Could it be that youve poisoned it
Yuka Minase,Thats not it I just felt better after seeing your smile Thats why thank you
Yukiko Hirohara,Ah So thats what you were going on about Well then Ill smile some more for you
Kakeru Satsuki,This isnt good Theres no point in reading this bogus
Yuka Minase,Is he an acquaintance of yours Yukikochan
Yukiko Hirohara,Eh Uh kind of
Yuka Minase,Could it be someone you like
Yukiko Hirohara,Ehh Thats wrong Geez what are you saying Yukasan
Yuka Minase,So thats not it Im sorry
Yukiko Hirohara,That person I dont know how to put this but Hes the same That person is also suffering
Yuka Minase,Yukikochan
Yukiko Hirohara,Yukasan I didnt think so before but you actually have some pretty nice breasts They feel so good
Yuka Minase,HHold on Yukikochan
Yukiko Hirohara,Its so calming
Tadashi Teruya,All right Shiorichan hows this
Shiori Momono,It seems like there is something wrong with your head
Tadashi Teruya,Eh
Shiori Momono,That is a complete set Why is the fifth book beside the first
Tadashi Teruya,Eh Ah youre right
Shiori Momono,The numbers are not just for display you know Please fix it
Kakeru Satsuki,Whats going on
Kaori Natsuki,Shiorichan has become the librarian so Tadashi said hed help out and this is how things ended up
Kakeru Satsuki,So thats how it is
Tadashi Teruya,All right Okay now its perfect
Shiori Momono,On second thought lets move that whole set down one shelf Please do it swiftly
Tadashi Teruya,Fine
Kaori Natsuki,Tadashi good luck
Yuka Minase,Kakerukun Senpai
Shiori Momono,Misuzu Kusakabe huh
Misuzu Kusakabe,The Kusakabe household has always protected the country and people fulfilling its role as an Onmyouji clan Thats why Ive never questioned becoming an Onmyouji Furthermore if I were to become one I wished to be strong Its a red seal
Kakeru Satsuki,A red seal
Misuzu Kusakabe,I hold all five treasured swords of the Kusakabe lineage These demon swords are quite powerful so I usually have them sealed but when the need arises I summon them Kogarasu Maru Amakuni
TL Note,The Kogarasu Maru is a double bladed sword similar to both the Chinese straight sword and Japanese tachi created by Amakuni a legendary blacksmith considered the father of the Japanese katana
Misuzu Kusakabe,Kashagiri Hiromitsu
TL Note,This sword was rumored to have cut a kasha burning wagon a demon used to steal dead bodies in half
Misuzu Kusakabe,Kannagiri Nagamitsu
TL Note,This sword was rumored to have cut a demon in disguise as a carpenter in half along with the kanna carpenters plane it was carrying
